;x D4;x EP D4 NGD;x EP D4 AGD;y D4;y EP D4 NGD;y EP D4 AGD
0,69;;1,95394690430985;1,9539469043092614;;2,8133587953272237;2,8133587989704694
0,7000000000000001;;1,9614481756384006;1,9614481756378015;;2,7900091747080724;2,790009178373443
0,7100000000000001;;1,9689782446131008;1,9689782446124906;;2,7668533455043507;2,766853349191228
0,72;;1,9765372217891328;1,9765372217885115;;2,7438896993339235;2,743889703041699
0,73;;1,9841252181461049;1,9841252181454725;;2,7211166411635057;2,721116644891577
0,74;;1,9917423450896803;1,9917423450890368;;2,6985325891978778;2,698532592945653
0,75;2,578;1,9993887144532114;1,9993887144525568;2,666666667;2,676135974770013;2,676135978536909
0,76;;2,007064438499384;2,0070644384987184;;2,65392524223212;2,653925246017561
0,77;;2,014769629921864;2,0147696299211866;;2,6318988488475887;2,631898852651007
0,7799999999999999;;2,022504401846952;2,022504401846263;;2,610055264683834;2,610055268504671
0,79;;2,0302688678352436;2,0302688678345437;;2,588392972506025;2,5883929763437292
0,8;;2,0380631418832995;2,038063141882588;;2,5669104676717054;2,566910471525734
0,8099999999999999;;2,0458873384253167;2,045887338424593;;2,5456062580262766;2,5456062618960944
0,8200000000000001;;2,053741572334807;2,053741572334072;;2,524478863799357;2,5244788676844356
0,83;;2,061625958926289;2,061625958925542;;2,503526817501997;2,5035268214018176
0,84;;2,069540613956975;2,0695406139562165;;2,4827486638247507;2,4827486677388
0,8500000000000001;;2,0774856536284756;2,0774856536277047;;2,4621429595365885;2,4621429634643617
0,86;;2,0854611945885013;2,0854611945877184;;2,4417082733846556;2,4417082773256555
0,8699999999999999;;2,0934673539325788;2,093467353931784;;2,4214431859948538;2,4214431899485906
0,88;;2,1015042492057687;2,101504249204962;;2,4013462897732567;2,4013462937392474
0,89;;2,10957199840439;2,1095719984035703;;2,3814161888083385;2,3814161927861073
0,8999999999999999;;2,1176707199777556;2,1176707199769234;;2,3616514987740156;2,361651502763094
0,91;;2,1258005328299077;2,1258005328290634;;2,342050846833491;2,3420508508334166
0,9199999999999999;;2,1339615563213656;2,1339615563205085;;2,3226128715439;2,322612875554219
0,9299999999999999;;2,1421539102708795;2,14215391027001;;2,303336222761746;2,3033362267820094
