;x D2;x EP AD NGD;x EP D2 AGD;y D2;y EP AD NGD;y EP D2 AGD
4,0;;8,55241106444835;8,55241106731931;;0,22444543578452464;0,22444727578873194
4,01;;8,58971115209095;8,58971115498164;;0,22309698705934491;0,22309882058135927
4,02;;8,627173918600091;8,627173921510629;;0,22175663969723403;0,2217584667485294
4,03;;8,664800073475813;8,664800076406316;;0,2204243450259047;0,22042616561805128
4,04;;8,702590329312528;8,702590332263116;;0,21910005466548893;0,21910186881015134
4,05;;8,740545401812536;8,74054540478333;;0,2177837205267804;0,2177855282357162
4,06;;8,778666009799561;8,778666012790678;;0,2164752948094886;0,21647709609454693
4,07;;8,81695287523238;8,81695287824394;;0,21517473000050297;0,21517652487362274
4,08;;8,855406723218469;8,855406726250596;;0,213881978872168;0,2138837673453767
4,09;;8,894028282027772;8,894028285080587;;0,21259699448056749;0,2125987765659794
4,1000000000000005;;8,93281828310647;8,932818286180098;;0,21131973016382005;0,21132150587363505
4,109999999999999;;8,971777461090834;8,971777464185394;;0,21005013954038554;0,21005190888688724
4,12;;9,010906553821156;9,010906556936774;;0,20878817650737916;0,20878993950293387
4,130000000000001;;9,050206302355695;9,050206305492498;;0,2075337952388989;0,207535551895954
4,14;;9,089677450984732;9,089677454142842;;0,20628695018436083;0,2062887005154433
4,15;;9,129320747244673;9,12932075042422;;0,20504759606684422;0,20504934008455947
4,16;;9,169136941932178;9,169136945133285;;0,20381568788144921;0,20381742559847932
4,17;;9,209126789118404;9,209126792341204;;0,2025911808936608;0,20259291232276347
4,18;;9,249291046163279;9,249291049407896;;0,2013740306377252;0,20137575579173217
4,19;;9,289630473729847;9,289630476996413;;0,2001641929150349;0,2001659118068509
4,2;;9,330145835798668;9,330145839087308;;0,19896162379252427;0,1989633364351252
4,21;;9,370837899682291;9,370837902993138;;0,1977662796010733;0,19776798600750523
4,22;;9,41170743603979;9,411707439372975;;0,1965781169339223;0,19657981711730024
4,2299999999999995;;9,452755218891355;9,452755222247012;;0,19539709264509575;0,19539878661860216
